341, 38042.9
342, 37882.6
343, 37780.1
344, 37615.9
345, 37460.8
346, 37326.2
347, 37192
348, 37063.6
349, 36963
350, 36757.8
351, 36664.1
352, 36532.8
353, 36375.4
354, 36214.5
355, 36091.7
356, 35983.2
357, 35869
358, 35759.4
359, 35607.9
360, 35469.8
361, 35336.2
362, 35220.2
363, 35134.6
364, 34972
365, 34874.3
366, 34725
367, 34619.4
368, 34504.6
369, 34369.7
370, 34307.5
371, 34178.8
372, 34041.6
373, 33915
374, 33780.8
375, 33685.7
376, 33578.6
377, 33427.6
378, 33375.6
379, 33218.2
380, 33100.4
381, 33019.1
382, 32939.6
383, 32803.1
384, 32648.7
385, 32571.3
386, 32482.4
387, 32387.9
388, 32287.3
389, 32176.2
390, 32043.4
391, 31955.5
392, 31848.9
393, 31770.4
394, 31673.2
395, 31583
396, 31461.8
397, 31373.2
398, 31282
399, 31181
400, 31048.7
401, 31007.7
402, 30870.6
403, 30804.1
404, 30681.4
405, 30590.3
406, 30548.8
407, 30458.5
408, 30332.6
409, 30286.8
410, 30151.9
411, 30087.8
412, 29957.2
413, 29846.3
414, 29801.2
415, 29716.4
416, 29622
417, 29549.8
418, 29452.1
419, 29390.7
420, 29279.3
421, 29187.7
422, 29130.6
423, 29054.9
424, 28960.1
425, 28911.9
426, 28785.1
427, 28698.8
428, 28607.2
429, 28603.7
430, 28465.5
431, 28359.4
432, 28311.7
433, 28250.2
434, 28171.3
435, 28076.6
436, 28012.7
437, 27932.2
438, 27847.9
439, 27766.1
440, 27697.1
441, 27612.1
442, 27556.9
443, 27472.7
444, 27421.8
445, 27346.2
446, 27261.8
447, 27186.6
448, 27128.4
449, 27074.2
450, 26944.1
451, 26898.3
452, 26827.8
453, 26751.1
454, 26666.5
455, 26624.9
456, 26537.8
457, 26471
458, 26414.6
459, 26363
460, 26265.6
461, 26226.4
462, 26137.8
463, 26074.7
464, 26022.7
465, 25922.1
466, 25873.4
467, 25816.5
468, 25768.8
469, 25698.8
470, 25605.3
471, 25540.7
472, 25480.4
473, 25401.6
474, 25373
475, 25327.4
476, 25234.8
477, 25198.2
478, 25113.9
479, 25091.5
480, 25003.9
481, 24938.9
482, 24867
483, 24826.7
484, 24760.8
485, 24720
486, 24647.1
487, 24618.3
488, 24532.6
489, 24490.7
490, 24419.6
491, 24363.6
492, 24262.9
493, 24241.5
494, 24130.6
495, 24115.7
496, 24051
497, 24015.1
498, 23953
499, 23908
500, 23838
501, 23794.3
502, 23738.8
503, 23684.6
504, 23637.2
505, 23597.1
506, 23556.8
507, 23472.4
508, 23437.6
509, 23378.1
510, 23346.8
511, 23246.8
512, 23212.5
513, 23171.8
514, 23098.8
515, 23063
516, 22996.2
517, 22989.7
518, 22902
519, 22882.1
520, 22801.2
521, 22745.4
522, 22735.7
523, 22642.4
524, 22596.5
525, 22573
526, 22509.4
527, 22470.4
528, 22400.1
529, 22345.8
530, 22317.1
531, 22301.6
532, 22219.4
533, 22202.6
534, 22131.5
535, 22075.8
536, 22031.8
537, 22030.5
538, 21964.2
539, 21903.8
540, 21877.8
541, 21801.1
542, 21734.2
543, 21756.4
544, 21658.2
545, 21627.6
546, 21594.3
547, 21557.2
548, 21500.5
549, 21427
550, 21421.1
551, 21353.7
552, 21344.1
553, 21289.6
554, 21218.5
555, 21220.9
556, 21142.9
557, 21108.1
558, 21070.6
559, 21057.2
560, 20965.4
561, 20971
562, 20882.2
563, 20834.1
564, 20820.4
565, 20765.4
566, 20734.7
567, 20716.4
568, 20645.7
569, 20610.2
570, 20569.8
571, 20510.4
572, 20501.8
573, 20442.3
574, 20417.5
575, 20386.3
576, 20369.9
577, 20307.3
578, 20258.9
579, 20215.9
580, 20162.2
581, 20112.3
582, 20137.1
583, 20052
584, 20013.3
585, 19970.3
