frequency_hz,power
198.486,9.45495e+13
199.219,1.0005e+14
199.951,5.72473e+14
200.684,2.79852e+14
201.416,6.12587e+12
202.148,5.36268e+13
202.881,1.93507e+14
203.613,1.74098e+13
204.346,7.95933e+12
205.078,1.83828e+14
205.811,2.47492e+14
206.543,6.49096e+13
207.275,4.75859e+13
208.008,4.2343e+13
208.74,8.0803e+13
209.473,1.9861e+14
210.205,1.47571e+14
210.938,1.10437e+13
211.67,4.80473e+13
212.402,2.50883e+14
213.135,2.07239e+14
213.867,8.02986e+13
214.6,7.78064e+13
215.332,1.16286e+14
216.064,3.40162e+14
216.797,7.90971e+13
217.529,9.69298e+13
218.262,3.63978e+13
218.994,2.87311e+14
219.727,1.32317e+14
220.459,6.73837e+13
221.191,1.55924e+12
221.924,1.5571e+14
222.656,1.57093e+14
223.389,6.20243e+13
224.121,3.67227e+13
224.854,3.78481e+13
225.586,6.78766e+13
226.318,2.36462e+14
227.051,9.49596e+13
227.783,7.76555e+12
228.516,3.78523e+13
229.248,1.42566e+14
229.98,2.50779e+13
230.713,6.80025e+12
231.445,2.92727e+14
232.178,3.68357e+14
232.91,5.06902e+13
233.643,7.38934e+13
234.375,1.28274e+13
235.107,2.68539e+14
235.84,4.46409e+13
236.572,2.22501e+14
237.305,1.41808e+14
238.037,2.54584e+14
238.77,6.09626e+12
239.502,1.05181e+13
240.234,8.95463e+13
240.967,9.11613e+13
241.699,7.63178e+13
242.432,2.05011e+14
243.164,6.31941e+12
243.896,2.17557e+13
244.629,3.30168e+14
245.361,4.56003e+14
246.094,5.45691e+12
246.826,1.28317e+14
247.559,7.97273e+13
248.291,1.99405e+13
249.023,4.77388e+13
249.756,1.61841e+14
250.488,3.18704e+13
251.221,2.01294e+14
251.953,4.71025e+13
252.686,4.77606e+13
253.418,5.57982e+13
254.15,7.07342e+11
254.883,6.02729e+12
255.615,8.63284e+13
256.348,3.45826e+13
257.08,2.45016e+13
257.812,3.94774e+13
258.545,3.2752e+14
259.277,3.76157e+12
260.01,5.41835e+12
260.742,3.30822e+14
261.475,1.51918e+14
262.207,5.52351e+12
262.939,5.91818e+12
263.672,1.64213e+13
264.404,1.72241e+14
265.137,7.98269e+13
265.869,3.24332e+12
266.602,2.20581e+14
267.334,5.2677e+13
268.066,1.35909e+14
268.799,1.63125e+13
269.531,6.34925e+13
270.264,8.73962e+12
270.996,7.52438e+08
271.729,4.61552e+12
272.461,2.57364e+13
273.193,7.03493e+12
273.926,1.97879e+14
274.658,4.15728e+13
275.391,1.24267e+14
276.123,6.72427e+12
276.855,5.07883e+14
277.588,8.31987e+13
278.32,7.4251e+12
279.053,7.58735e+11
279.785,7.43489e+13
280.518,2.41123e+13
281.25,1.46542e+13
281.982,2.24117e+11
282.715,4.46887e+13
283.447,8.89949e+13
284.18,8.30527e+11
284.912,3.15796e+11
285.645,1.02368e+13
286.377,2.64832e+12
287.109,3.51238e+11
287.842,9.07954e+11
288.574,2.68213e+12
289.307,2.09376e+12
290.039,4.13159e+12
290.771,3.66693e+12
291.504,6.90789e+12
292.236,2.91336e+13
292.969,9.19567e+13
293.701,3.54047e+12
294.434,8.04579e+12
295.166,9.37088e+11
295.898,7.70265e+13
296.631,1.56953e+13
297.363,3.00947e+12
298.096,1.6373e+12
298.828,3.36567e+14
